step,mloss,gloss,loss
100.0,3.9456,632.5259,636.4715
200.0,2.4069,1.0003,3.4072
300.0,2.4032,1.0006,3.4038
400.0,2.397,0.9995,3.3965
500.0,2.4117,1.0025,3.4142
600.0,2.3879,0.9995,3.3874
700.0,2.3809,1.0002,3.3811
800.0,2.4051,0.9977,3.4028
900.0,2.3747,0.9897,3.3644
1000.0,2.3457,0.9736,3.3193
1100.0,2.3715,0.9808,3.3523
1200.0,2.3019,0.9581,3.26
1300.0,2.2956,0.9512,3.2468
1400.0,2.3032,0.9481,3.2513
1500.0,2.2934,0.9434,3.2368
1600.0,2.2788,0.9451,3.2239
1700.0,2.2868,0.9404,3.2272
1800.0,2.2766,0.9384,3.215
1900.0,2.2929,0.9432,3.2361
2000.0,2.2641,0.9375,3.2016
2100.0,2.2676,0.9364,3.204
2200.0,2.2504,0.9348,3.1852
2300.0,2.2683,0.9302,3.1985
2400.0,2.2616,0.9211,3.1827
2500.0,2.2587,0.9005,3.1592
2600.0,2.2265,0.8673,3.0938
2700.0,2.23,0.8524,3.0824
2800.0,2.2615,0.8456,3.1071
2900.0,2.2171,0.8434,3.0605
3000.0,2.237,0.841,3.078
3100.0,2.2275,0.8401,3.0676
3200.0,2.2427,0.836,3.0787
3300.0,2.2265,0.8239,3.0504
3400.0,2.2297,0.8273,3.057
3500.0,2.2295,0.8011,3.0306
3600.0,2.2461,0.7716,3.0177
3700.0,2.2057,0.7636,2.9693
3800.0,2.2061,0.7624,2.9685
3900.0,2.2039,0.7608,2.9647
4000.0,2.186,0.7538,2.9398
4100.0,2.1883,0.753,2.9413
4200.0,2.2096,0.7574,2.967
4300.0,2.182,0.7487,2.9307
4400.0,2.1962,0.7499,2.9461
4500.0,2.1926,0.7413,2.9339
4600.0,2.1857,0.7258,2.9115
4700.0,2.2038,0.7057,2.9095
4800.0,2.1691,0.6902,2.8593
4900.0,2.1897,0.6812,2.8709
5000.0,2.1693,0.6798,2.8491
5100.0,2.1868,0.6685,2.8553
5200.0,2.1813,0.6641,2.8454
5300.0,2.1678,0.6437,2.8115
5400.0,2.1844,0.601,2.7854
5500.0,2.1644,0.5959,2.7603
5600.0,2.1436,0.5919,2.7355
5700.0,2.1657,0.5899,2.7556
5800.0,2.152,0.5887,2.7407
5900.0,2.1529,0.589,2.7419
6000.0,2.1574,0.5908,2.7482
6100.0,2.1546,0.5879,2.7425
6200.0,2.1626,0.582,2.7446
6300.0,2.1586,0.5878,2.7464
6400.0,2.1547,0.5846,2.7393
6500.0,2.1511,0.5838,2.7349
6600.0,2.1583,0.5821,2.7404
6700.0,2.141,0.5813,2.7223
6800.0,2.1614,0.5807,2.7421
6900.0,2.1512,0.587,2.7382
7000.0,2.1386,0.5825,2.7211
7100.0,2.1279,0.5779,2.7058
7200.0,2.1312,0.5819,2.7131
7300.0,2.1313,0.5846,2.7159
7400.0,2.1356,0.5825,2.7181
7500.0,2.1511,0.5778,2.7289
7600.0,2.1418,0.5774,2.7192
7700.0,2.1345,0.5802,2.7147
7800.0,2.1592,0.5762,2.7354
7900.0,2.1341,0.5774,2.7115
8000.0,2.1414,0.5738,2.7152
8100.0,2.1181,0.5736,2.6917
8200.0,2.1101,0.5742,2.6843
8300.0,2.1206,0.573,2.6936
8400.0,2.1323,0.5752,2.7075
8500.0,2.1299,0.5738,2.7037
8600.0,2.1213,0.5704,2.6917
8700.0,2.1424,0.5739,2.7163
8800.0,2.1154,0.5709,2.6863
8900.0,2.1354,0.5721,2.7075
9000.0,2.1154,0.5689,2.6843
9100.0,2.1029,0.5693,2.6722
9200.0,2.103,0.5686,2.6716
9300.0,2.1164,0.567,2.6834
9400.0,2.105,0.5689,2.6739
9500.0,2.0989,0.5663,2.6652
9600.0,2.1213,0.5647,2.686
9700.0,2.132,0.5692,2.7012
9800.0,2.1171,0.5653,2.6824
9900.0,2.1131,0.5651,2.6782
10000.0,2.1144,0.5675,2.6819
