step,mloss,gloss,loss
100.0,0.5212,1293.8503,1294.3715
200.0,0.2284,1.0054,1.2338
300.0,0.2229,1.0031,1.226
400.0,0.2221,0.9994,1.2215
500.0,0.2225,1.0015,1.224
600.0,0.217,0.9981,1.2151
700.0,0.217,0.9994,1.2164
800.0,0.2244,0.9938,1.2182
900.0,0.2177,0.9676,1.1853
1000.0,0.2164,0.9369,1.1533
1100.0,0.2152,0.9242,1.1394
1200.0,0.2147,0.913,1.1277
1300.0,0.2133,0.9083,1.1216
1400.0,0.2146,0.9006,1.1152
1500.0,0.2197,0.8934,1.1131
1600.0,0.2185,0.8783,1.0968
1700.0,0.2179,0.8607,1.0786
1800.0,0.2159,0.8461,1.062
1900.0,0.2155,0.7854,1.0009
2000.0,0.2136,0.7627,0.9763
2100.0,0.2125,0.7556,0.9681
2200.0,0.2147,0.7522,0.9669
2300.0,0.2128,0.7374,0.9502
2400.0,0.2103,0.7215,0.9318
2500.0,0.2096,0.6846,0.8942
2600.0,0.2076,0.6528,0.8604
2700.0,0.2084,0.639,0.8474
2800.0,0.2064,0.6409,0.8473
2900.0,0.2031,0.629,0.8321
3000.0,0.2069,0.6006,0.8075
3100.0,0.2082,0.5708,0.779
3200.0,0.2067,0.5425,0.7492
3300.0,0.2053,0.5375,0.7428
3400.0,0.2032,0.5345,0.7377
3500.0,0.2012,0.5336,0.7348
3600.0,0.1998,0.5301,0.7299
3700.0,0.2044,0.5254,0.7298
3800.0,0.2028,0.5256,0.7284
3900.0,0.1984,0.5069,0.7053
4000.0,0.2024,0.47,0.6724
4100.0,0.198,0.4457,0.6437
4200.0,0.1984,0.4333,0.6317
4300.0,0.1977,0.4361,0.6338
4400.0,0.1983,0.4337,0.632
4500.0,0.2032,0.4311,0.6343
4600.0,0.197,0.4269,0.6239
4700.0,0.197,0.4265,0.6235
4800.0,0.2003,0.4272,0.6275
4900.0,0.1977,0.4272,0.6249
5000.0,0.1959,0.4231,0.619
5100.0,0.1973,0.4233,0.6206
5200.0,0.1909,0.42,0.6109
5300.0,0.1963,0.4212,0.6175
5400.0,0.1941,0.4243,0.6184
5500.0,0.1931,0.4198,0.6129
5600.0,0.1946,0.4211,0.6157
5700.0,0.1959,0.4149,0.6108
5800.0,0.1968,0.4207,0.6175
5900.0,0.1956,0.4171,0.6127
6000.0,0.1968,0.4168,0.6136
6100.0,0.1933,0.4179,0.6112
6200.0,0.193,0.4165,0.6095
6300.0,0.1924,0.4167,0.6091
6400.0,0.1908,0.4168,0.6076
6500.0,0.1893,0.4174,0.6067
6600.0,0.1908,0.4156,0.6064
6700.0,0.192,0.4137,0.6057
6800.0,0.1973,0.4181,0.6154
6900.0,0.1948,0.417,0.6118
7000.0,0.1918,0.4207,0.6125
7100.0,0.1917,0.413,0.6047
7200.0,0.1894,0.4119,0.6013
7300.0,0.1897,0.4137,0.6034
7400.0,0.1944,0.4105,0.6049
7500.0,0.1876,0.4128,0.6004
7600.0,0.1906,0.4109,0.6015
7700.0,0.191,0.4121,0.6031
7800.0,0.185,0.4121,0.5971
7900.0,0.1886,0.4106,0.5992
8000.0,0.1888,0.4117,0.6005
8100.0,0.1887,0.4085,0.5972
8200.0,0.1882,0.4057,0.5939
8300.0,0.1865,0.4077,0.5942
8400.0,0.1844,0.4073,0.5917
8500.0,0.193,0.41,0.603
8600.0,0.1829,0.4059,0.5888
8700.0,0.185,0.4058,0.5908
8800.0,0.1864,0.4031,0.5895
8900.0,0.1849,0.4045,0.5894
9000.0,0.1892,0.4051,0.5943
9100.0,0.1901,0.4069,0.597
9200.0,0.1896,0.4058,0.5954
9300.0,0.1866,0.404,0.5906
9400.0,0.1872,0.4039,0.5911
9500.0,0.1864,0.4033,0.5897
9600.0,0.1909,0.402,0.5929
9700.0,0.186,0.4026,0.5886
9800.0,0.1849,0.4015,0.5864
9900.0,0.1846,0.4005,0.5851
10000.0,0.1853,0.4018,0.5871
