age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
35.0, Federal-gov,435432.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,49.0, United-States, <=50K
19.0, Private,354631.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,92896.0, 11th,7.0, Never-married, ?, Own-child, White, Male,0.0,0.0,27.0, United-States, <=50K
38.0, Federal-gov,40090.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,32.0, United-States, <=50K
28.0, Private,244731.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, Italy, <=50K
60.0, Private,193929.0, Preschool,2.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, Mexico, <=50K
33.0, ?,182411.0, HS-grad,7.0, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0.0,0.0,18.0, Vietnam, <=50K
47.0, Private,239405.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,144840.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1813.0,82.0, United-States, >50K
43.0, Private,168235.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,128561.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,35.0, United-States, <=50K
24.0, State-gov,314031.0, Bachelors,13.0, Never-married, Exec-managerial, Unmarried, Black, Female,0.0,0.0,40.0, Hungary, <=50K
33.0, State-gov,233890.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,50.0, United-States, <=50K
25.0, Private,374592.0, Bachelors,13.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,46.0, United-States, <=50K
67.0, Private,148873.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, >50K
49.0, Private,147876.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,23.0, United-States, >50K
36.0, Private,249650.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
